template_id,start_time,end_time,station,network,channel,latitude,longitude,sampling_rate,start_index
motif1_a,2024-09-23T01:28:03.800322Z,2024-09-23T01:28:04.796323Z,,,,N/A,N/A,249.999984741,1320950
motif1_b,2024-09-23T01:59:30.332438Z,2024-09-23T01:59:31.328438Z,,,,N/A,N/A,249.999984741,1792583
motif2_a,2024-09-23T01:28:03.796322Z,2024-09-23T01:28:04.792323Z,,,,N/A,N/A,249.999984741,1320949
motif2_b,2024-09-23T01:59:30.328438Z,2024-09-23T01:59:31.324438Z,,,,N/A,N/A,249.999984741,1792582
motif3_a,2024-09-23T01:28:03.804322Z,2024-09-23T01:28:04.800323Z,,,,N/A,N/A,249.999984741,1320951
motif3_b,2024-09-23T01:59:30.336438Z,2024-09-23T01:59:31.332438Z,,,,N/A,N/A,249.999984741,1792584
motif4_a,2024-09-23T01:59:30.324438Z,2024-09-23T01:59:31.320438Z,,,,N/A,N/A,249.999984741,1792581
motif4_b,2024-09-23T01:28:03.792322Z,2024-09-23T01:28:04.788323Z,,,,N/A,N/A,249.999984741,1320948
motif5_a,2024-09-23T01:21:01.736297Z,2024-09-23T01:21:02.732297Z,,,,N/A,N/A,249.999984741,1215434
motif5_b,2024-09-23T00:25:19.600093Z,2024-09-23T00:25:20.596093Z,,,,N/A,N/A,249.999984741,379900
